fonte,tipo_fonte,issn,isbn,ano,indexado,metodo
"Proceedings of ICSSSM '05. 2005 International Conference on Services Systems and Services Management, 2005.",conferencia,2161-1904,0-7803-8971-9,2005,True,TITULO_FUZZY_ANO(98)
IEEE Transactions on Big Data,periodico,2332-7790,,2025,True,ISSN
MILCOM 2018 - 2018 IEEE Military Communications Conference (MILCOM),conferencia,2155-7586,978-1-5386-7185-6,2018,True,ISBN
2017 Progress in Electromagnetics Research Symposium - Fall (PIERS - FALL),conferencia,,978-1-5386-1211-8,2017,True,ISBN
2006 IEEE Aerospace Conference,conferencia,1095-323X,0-7803-9545-X,2006,True,ISSN_SERIE
2017 International Conference on Computing Networking and Informatics (ICCNI),conferencia,,978-1-5090-4642-3,2017,True,ISBN
2014 Global Summit on Computer & Information Technology (GSCIT),conferencia,,978-1-4799-5627-2,2014,True,TITULO_FUZZY_ANO(97)
2024 International Conference on Telecommunications and Power Electronics (TELEPE),conferencia,,979-8-3503-6921-2,2024,True,ISBN
2025 International Conference on Information Management and Computing Technology (ICIMCT),conferencia,,979-8-3315-8501-3,2025,True,ISBN
2024 Beyond Technology Summit on Informatics International Conference (BTS-I2C),conferencia,,979-8-3315-0857-9,2024,True,ISBN
2016 3rd International Conference on Information Science and Control Engineering (ICISCE),conferencia,,978-1-5090-2535-0,2016,True,ISBN
2025 11th International Conference on Communication and Signal Processing (ICCSP),conferencia,2836-1873,978-1-6654-5736-1,2025,True,ISBN
2023 IEEE 18th International Conference on Computer Science and Information Technologies (CSIT),conferencia,2766-3639,979-8-3503-6046-2,2023,True,ISBN
2025 2nd International Symposium on AI and Cybersecurity (ISAICS),conferencia,,979-8-3315-5490-3,2025,True,ISBN
2025 3rd International Conference on Business Analytics for Technology and Security (ICBATS),conferencia,,979-8-3315-3827-9,2025,True,ISBN
"2018 5th International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",conferencia,,978-1-5386-8402-3,2018,True,ISBN
2025 5th International Conference on Artificial Intelligence and Industrial Technology Applications (AIITA),conferencia,,979-8-3315-0976-7,2025,True,ISBN
"2025 Asia-Europe Conference on Cybersecurity, Internet of Things and Soft Computing (CITSC)",conferencia,,979-8-3315-0420-5,2025,True,ISBN
2025 9th International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),conferencia,2770-7962,979-8-3315-9753-5,2025,True,ISBN
"2025 IEEE 7th International Conference on Computing, Communication and Automation (ICCCA)",conferencia,,979-8-3315-6980-8,2025,True,ISBN
2025 Tenth International Conference on Science Technology Engineering and Mathematics (ICONSTEM),conferencia,2996-2986,979-8-3315-6187-1,2025,True,ISBN
2022 International Conference on Data Science and Intelligent Computing (ICDSIC),conferencia,,979-8-3503-3488-3,2022,True,ISBN
2024 8th International Conference on Business and Information Management (ICBIM),conferencia,,979-8-3503-7909-9,2024,True,ISBN
2025 8th International Conference on Enterprise Systems (ES),conferencia,2572-6609,979-8-3315-8890-8,2025,True,ISBN
2025 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI),conferencia,,978-1-6654-5753-8,2025,True,ISBN
"2025 IEEE International Conference on Electronics, Energy Systems and Power Engineering (EESPE)",conferencia,,979-8-3503-8957-9,2025,True,ISBN
2024 14th International Conference on Information Technology in Medicine and Education (ITME),conferencia,2474-3828,979-8-3503-5667-0,2024,True,ISBN
2016 Third International Conference on Systems of Collaboration (SysCo),conferencia,,978-1-5090-4926-4,2016,True,ISBN
2025 IEEE Silchar Subsection Conference (SILCON),conferencia,,979-8-3315-7727-8,2025,True,ISBN
"2025 International Conference on Computational, Communication and Information Technology (ICCCIT)",conferencia,,979-8-3315-1296-5,2025,True,ISBN
2010 Second International Conference on Computational Intelligence and Natural Computing,conferencia,,978-1-4244-7706-7,2010,False,
IEEE Transactions on Consumer Electronics,periodico,1558-4127,,2025,True,ISSN
2025 28th International Conference on Information Fusion (FUSION),conferencia,,978-1-0370-5623-9,2025,True,ISBN
2024 International Conference on Emerging Innovations and Advanced Computing (INNOCOMP),conferencia,,979-8-3503-7647-0,2024,True,ISBN
2025 5th International Conference on Evolutionary Computing and Mobile Sustainable Networks (ICECMSN),conferencia,,979-8-3315-8242-5,2025,True,ISBN
2024 7th International Conference on Mechatronics and Computer Technology Engineering (MCTE),conferencia,,979-8-3503-9095-7,2024,True,ISBN
2025 4th OPJU International Technology Conference (OTCON) on Smart Computing for Innovation and Advancement in Industry 5.0,conferencia,,979-8-3315-3536-0,2025,True,ISBN
2025 1st International Conference on Computational Intelligence Approaches and Applications (ICCIAA),conferencia,,979-8-3315-2365-7,2025,True,ISBN
2025 20th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP),conferencia,2831-4565,979-8-3315-0217-1,2025,True,ISBN
2025 2nd International Conference on Telecommunications and Power Electronics (TELEPE),conferencia,,979-8-3315-2467-8,2025,True,ISBN
2010 International Conference on Intelligent Control and Information Processing,conferencia,,978-1-4244-7050-1,2010,False,
2025 International Conference on Artificial Intelligence and Machine Vision (AIMV),conferencia,,979-8-3315-2697-9,2025,True,ISBN
2018 International Colloquium on Logistics and Supply Chain Management (LOGISTIQUA),conferencia,2166-7373,978-1-5386-7837-4,2018,True,ISBN
2025 International Conference on Computing and Communications (COMPUTINGCON),conferencia,,979-8-3315-2253-7,2025,True,ISBN
2025 2nd International Conference on Electronic Circuits and Signaling Technologies (ICECST),conferencia,,979-8-3315-9481-7,2025,True,ISBN
"2024 International Conference on Distributed Systems, Computer Networks and Cybersecurity (ICDSCNC)",conferencia,,979-8-3503-7544-2,2024,True,ISBN
2025 6th International Conference for Emerging Technology (INCET),conferencia,2996-4490,979-8-3315-3103-4,2025,True,ISBN
"2020 International Conference on Computer Network, Electronic and Automation (ICCNEA)",conferencia,,978-1-7281-7083-1,2020,True,ISBN
