"Occurrences","Words","Cluster","Color","Cluster_Label","Cluster_Frequency","btw_centrality","clos_centrality","pagerank_centrality"
33,"investments",1,"#E41A1C80","decision making",6699,609.392358077994,0.000536480686695279,0.00118085046188005
33,"urban planning",1,"#E41A1C80","decision making",6699,777.810914035741,0.000539374325782093,0.0012873403631909
32,"competition",1,"#E41A1C80","decision making",6699,369.202965934703,0.000525210084033613,0.00110690379502303
32,"costs",1,"#E41A1C80","decision making",6699,808.929545516325,0.000537923614846692,0.00117220569789717
31,"environmental management",1,"#E41A1C80","decision making",6699,821.89712481854,0.000540832882639265,0.0013262626681775
32,"supply chains",1,"#E41A1C80","decision making",6699,360.515180778544,0.000527426160337553,0.00102030507146742
31,"data transfer",1,"#E41A1C80","decision making",6699,742.247063333857,0.000536768652710682,0.00106389605326739
31,"embedded systems",1,"#E41A1C80","decision making",6699,985.220331748414,0.000540832882639265,0.00123115131007649
31,"energy utilization",1,"#E41A1C80","decision making",6699,737.47323797377,0.000536480686695279,0.00114118243569982
31,"iot",1,"#E41A1C80","decision making",6699,632.989029404488,0.000535618639528656,0.00109143842080318
31,"real-time data processing",1,"#E41A1C80","decision making",6699,559.519932696055,0.000533049040511727,0.00121534763216305
31,"risk perception",1,"#E41A1C80","decision making",6699,903.385288523967,0.000539665407447383,0.00105418412254517
30,"data communication systems",1,"#E41A1C80","decision making",6699,1050.51331136186,0.000546746856205577,0.00116397875840437
28,"architectural design",1,"#E41A1C80","decision making",6699,226.479062008242,0.000523560209424084,0.00113327091742286
29,"data driven decision",1,"#E41A1C80","decision making",6699,672.147784708221,0.000535045478865704,0.00105216509680937
28,"process control",1,"#E41A1C80","decision making",6699,276.539322946349,0.000524383848977452,0.000720445974569633
25,"air quality",1,"#E41A1C80","decision making",6699,500.699134090044,0.000531914893617021,0.000926348537191219
27,"industrial research",1,"#E41A1C80","decision making",6699,597.445125260452,0.000534188034188034,0.000968541960329047
26,"virtual reality",1,"#E41A1C80","decision making",6699,564.998642539963,0.000533333333333333,0.000900872486129571
27,"work-flows",1,"#E41A1C80","decision making",6699,460.644595454096,0.000527704485488127,0.000810746589401157
26,"data reliability",1,"#E41A1C80","decision making",6699,584.811394569899,0.000533617929562433,0.000908878485768031
26,"knowledge management",1,"#E41A1C80","decision making",6699,470.036035627982,0.000528820729772607,0.000896489472934559
26,"spatio-temporal data",1,"#E41A1C80","decision making",6699,557.639958004117,0.000531067445565587,0.000850612729201373
25,"access control",1,"#E41A1C80","decision making",6699,649.25934409489,0.000529941706412295,0.000908930966945892
25,"building information modelling",1,"#E41A1C80","decision making",6699,218.671308673226,0.000523012552301255,0.000984422976529753
25,"natural languages",1,"#E41A1C80","decision making",6699,450.39324808477,0.00053248136315229,0.00100227869576696
24,"decision-making process",1,"#E41A1C80","decision making",6699,547.421363032208,0.00053475935828877,0.000890635106650337
24,"petroleum reservoir evaluation",1,"#E41A1C80","decision making",6699,351.788733715216,0.000527148128624143,0.000952189593230594
24,"regulatory compliance",1,"#E41A1C80","decision making",6699,565.696272945374,0.00053276505061268,0.00104768767040557
24,"sorting",1,"#E41A1C80","decision making",6699,266.775468723934,0.000519480519480519,0.000902860855035431
24,"supply chain management",1,"#E41A1C80","decision making",6699,239.521088710359,0.000522193211488251,0.000830215059790079
23,"infill drilling",1,"#E41A1C80","decision making",6699,197.076627760947,0.000520020800832033,0.000907012511842185
23,"internet of thing",1,"#E41A1C80","decision making",6699,595.677728557459,0.000533902829684997,0.00102074770117764
22,"cyber security",1,"#E41A1C80","decision making",6699,505.161623922041,0.000531914893617021,0.000862779779241407
22,"human resource management",1,"#E41A1C80","decision making",6699,428.395169604347,0.000528820729772607,0.000843314393782271
21,"data consistency",1,"#E41A1C80","decision making",6699,310.071987151549,0.000523286237571952,0.000662281712173651
20,"maintenance",1,"#E41A1C80","decision making",6699,311.407332193707,0.000526592943654555,0.000717227040842801
21,"sensors data",1,"#E41A1C80","decision making",6699,532.418568828366,0.000530222693531283,0.000867969103699628
21,"storage management",1,"#E41A1C80","decision making",6699,419.8356204305,0.000525762355415352,0.000789559938196432
20,"cyber physical system",1,"#E41A1C80","decision making",6699,306.39985199447,0.000524383848977452,0.000840192683604452
20,"digital devices",1,"#E41A1C80","decision making",6699,465.601730659132,0.000531067445565587,0.000720603177592211
19,"cost reduction",1,"#E41A1C80","decision making",6699,474.358382991344,0.000529100529100529,0.000802651311427655
19,"data flow analysis",1,"#E41A1C80","decision making",6699,421.247672254322,0.000529380624669137,0.000805954483102201
19,"enterprise resource planning",1,"#E41A1C80","decision making",6699,273.606862484978,0.000521920668058455,0.000724342215831516
19,"health risks",1,"#E41A1C80","decision making",6699,456.247130849242,0.000530222693531283,0.000725049862809718
19,"language processing",1,"#E41A1C80","decision making",6699,393.527158060284,0.000530785562632696,0.000854997413060934
19,"sensors network",1,"#E41A1C80","decision making",6699,342.38377726228,0.000527704485488127,0.000732339983255001
19,"strategic planning",1,"#E41A1C80","decision making",6699,286.802175337058,0.000523834468308015,0.00070817047671614
19,"user interfaces",1,"#E41A1C80","decision making",6699,271.673628635512,0.000525762355415352,0.000778766454996936
18,"data centers",1,"#E41A1C80","decision making",6699,250.693905299652,0.000520833333333333,0.00066884892648532
18,"data curation",1,"#E41A1C80","decision making",6699,273.111522681379,0.000524109014675052,0.00067462153164753
18,"environmental technology",1,"#E41A1C80","decision making",6699,446.440243484958,0.000531067445565587,0.000792413543635694
18,"intelligent buildings",1,"#E41A1C80","decision making",6699,353.0537020437,0.000529100529100529,0.000768368552334537
