"Keyword";"Freq"
" DECISION MAKING";1018
" DATA INTEGRATION";730
" INFORMATION MANAGEMENT";560
" BIG DATA";524
" DATA ARCHITECTURES";337
" DIGITAL STORAGE";320
"BIG DATA";316
" DATA ANALYTICS";303
" LEARNING SYSTEMS";302
" LAKES";262
" MACHINE LEARNING";238
" DATA HANDLING";237
" INTERNET OF THINGS";236
" DEEP LEARNING";226
" DECISIONS MAKINGS";214
" MACHINE-LEARNING";205
" METADATA";202
" ARTIFICIAL INTELLIGENCE";186
" HUMAN";185
" DECISION SUPPORT SYSTEMS";181
