"Author";"NP"
"ZHENG Y";4
"ZHOU B";4
"ZHOU L";4
"ZHOU Q";4
"ZHOU S";4
"ZHOU Z";4
"ZULKERNINE F";4
"ZURFLUH G";4
"ABDELLATIF T";3
"ADHIKARI M";3
"AHMAD M";3
"AIT EL KADI K";3
"ALI A";3
"ALI H";3
"ANTHONY JNR B";3
"ARAS H";3
"ASRI H";3
"ASTYAKOPOULOS A";3
"ATHANASIADIS IN";3
"AUER S";3
"AZEROUAL O";3
"BAO Y";3
"BARBARINO S";3
"BARTHE-DELANOË A-M";3
"BELIAKOVA V";3
"BENABEN F";3
"BIKIENGA MM";3
"BIMONTE S";3
"BOHAR B";3
"BOUDRIKI SEMLALI B-EB";3
"BOUKRAÂ D";3
"BREGON A";3
"CAMOSSI E";3
"CAO S";3
"CESARIO A";3
"CH’NG E";3
"CHEN P";3
"CHEN T-Y";3
"CHENG G";3
"CHU X";3
"CRUVINEL PE";3
"CSABAI L";3
"DAKI H";3
"DAS S";3
"DENG C";3
"DERAKHSHANNIA M";3
"DESSABLES F";3
"DING Y";3
"DONG S";3
"DU B";3
"DU H";3
"DUAN Y";3
"EGBON E";3
"EL HANNANI A";3
"ELHAJ BEN ALI S";3
"ERRAISSI A";3
"ESTEVE M";3
"FAN J";3
"FAN W";3
"FANG H";3
"FANG Y";3
"FAZEKAS D";3
"FENG H";3
"FERTIER A";3
"FU D";3
"FU X";3
"GAO H";3
"GAO J";3
"GÓMEZ-ROMERO J";3
"GUIMARÃES P";3
"GUO H";3
"GUO S";3
"GUPTA BB";3
"GUPTA N";3
"HAN P";3
"HAO D";3
"HAO Y";3
"HARBY AA";3
"HE L";3
"HOFFMANN M";3
"HOU W";3
"HU P";3
"HUANG L";3
"ISAMBERTT J";3
"JESCHKE S";3
"JIA Y";3
"JIANG S";3
"JIANG Z";3
"KAMATALA S";3
"KAPIDANI N";3
"KIM E";3
"KORCSMÁROS T";3
"KOTIS K";3
"KUMAR M";3
"KUMAR R";3
"LEE D";3
"LEE J";3
"LEE S";3
"LEHNER W";3
"LEI J";3
"LEMA F";3
"LEPAGE KD";3
"LEUNG CK";3
"LI C";3
"LI T";3
"LIANG S";3
"LIANG X";3
"LIANG Z";3
"LIAO Y";3
"LIKHITRUANGSILP V";3
"LIN W";3
"LIN Z";3
"LITCHFIELD A";3
"LIU R";3
"LU H";3
"LU X";3
"LU Y";3
"LUO J";3
"LUO X";3
"MA H";3
"MA Y";3
"MADGWICK M";3
"MAO X";3
"MARTINHO B";3
"MCGREGOR C";3
"MECELLA M";3
"MEGDICHE I";3
"MENG F";3
"MENG X";3
"MENG Y";3
"MENG Z";3
"MERCADO L";3
"MILOSLAVSKAYA N";3
"MISHRA A";3
"MOHANTY M";3
"MONTARNAL A";3
"MOSTEFAOUI A";3
"MOUTZOURIS M";3
"MUSARELLA L";3
"ÖLBEI M";3
"OLIVEIRA E SA J";3
"OREŠČANIN D";3
"OUAHMANE H";3
"OUÉDRAOGO TFTF";3
"PALADIN Z";3
"PAN C";3
"PAN Y";3
"PAOLUCCI F";3
"PENG G";3
"PICARIELLO A";3
"PLALE B";3
"PLEBANI P";3
"POMP A";3
"QI H";3
"QI Y";3
"QIN J";3
"RAHAYU W";3
"RAHMAN MA";3
"RAMAKRISHNAN R";3
"RANGANATHAN CS";3
"RUIZ D";3
"SAEED A";3
"SAMUTHIRA PANDI VS";3
"SANTIPANTAKIS G";3
"SAWADOGO P";3
"SHARMA K";3
"SHARMA M";3
"SHARMA N";3
"SHEN W";3
"SHEN Z";3
"SHI H";3
"SHI L";3
"SHUKLA A";3
"SICURANZA M";3
"SINGH AK";3
"SINGH G";3
"SINGH M";3
"SINGH SK";3
"SOFEAN M";3
"SONG L";3
"SONG Z";3
"SORE SS";3
"SOUFARGI S";3
"SOUSA R";3
"SU X";3
"SU Y";3
"SULEYKIN A";3
"SUN L";3
"SUN M";3
"SURIARACHCHI I";3
"SZALAY-BEKŐ M";3
"TANCA L";3
"TANG C";3
"TANG L";3
"TANG S";3
"TESEI A";3
"TOPOLSKIY D";3
"TRUPTIL S";3
"TUROWSKI K";3
"VALENTINI V";3
"VAN DEN HEUVEL W-J";3
"VERMA P";3
"VOLK M";3
"VOSINAKIS G";3
"WAHBI M";3
"WEI C";3
"WEI J";3
"WEI Z";3
"WEN Y";3
"WEN Z";3
"WU D";3
"WU L";3
"XIAO L";3
"XIAO Y";3
"XIE X";3
"XING L";3
"XU K";3
"XU M";3
"XU W";3
"XUE M";3
"YAN H";3
"YAN Z";3
"YANG B";3
"YANG K";3
"YANG Q";3
"YAO Y";3
"YU C";3
"YU G";3
"YU M";3
"YUAN H";3
"YUAN Q";3
"YUAN Y";3
"YUE Y";3
"ZENG J";3
"ZHANG N";3
"ZHAO M";3
"ZHENG C";3
"ZHENG F";3
"ZHENG L";3
"ZHENG Q";3
"ZHENG X";3
"ZHOU G";3
"ZHOU H";3
"ZHOU R";3
"ZHOU X";3
"ZHU B";3
"ZHU H";3
"ZHU K";3
"ZHU W";3
"ZISSIS D";3
"ZOU J";3
"ABBAS M";2
"ABBAS S";2
